starttime	seconds	ctime	dtime	ttime	wait
Wed Dec 06 18:26:12 2023	1701915972	10	11	21	11
Wed Dec 06 18:26:12 2023	1701915972	10	12	22	12
Wed Dec 06 18:20:02 2023	1701915602	7	16	23	14
Wed Dec 06 18:22:54 2023	1701915774	8	15	23	13
Wed Dec 06 18:22:54 2023	1701915774	8	15	23	15
Wed Dec 06 18:20:02 2023	1701915602	7	17	23	16
Wed Dec 06 18:20:02 2023	1701915602	7	17	24	16
Wed Dec 06 18:20:02 2023	1701915602	14	10	24	9
Wed Dec 06 18:26:13 2023	1701915973	8	16	25	15
Wed Dec 06 18:26:12 2023	1701915972	12	14	26	13
Wed Dec 06 18:23:16 2023	1701915796	13	14	27	11
Wed Dec 06 18:25:53 2023	1701915953	12	15	27	11
Wed Dec 06 18:24:14 2023	1701915854	15	12	27	10
Wed Dec 06 18:23:16 2023	1701915796	13	15	28	14
Wed Dec 06 18:25:27 2023	1701915927	11	18	29	14
Wed Dec 06 18:20:02 2023	1701915602	14	15	29	14
Wed Dec 06 18:23:54 2023	1701915834	12	17	29	17
Wed Dec 06 18:20:02 2023	1701915602	15	14	29	14
Wed Dec 06 18:25:27 2023	1701915927	12	18	30	14
Wed Dec 06 18:25:47 2023	1701915947	13	16	30	14
Wed Dec 06 18:25:53 2023	1701915953	12	18	30	18
Wed Dec 06 18:22:25 2023	1701915745	15	15	30	14
Wed Dec 06 18:23:17 2023	1701915797	9	21	30	18
Wed Dec 06 18:26:43 2023	1701916003	15	15	30	15
Wed Dec 06 18:26:43 2023	1701916003	14	16	30	11
Wed Dec 06 18:26:43 2023	1701916003	14	16	30	14
Wed Dec 06 18:25:27 2023	1701915927	14	17	31	16
Wed Dec 06 18:26:43 2023	1701916003	12	19	31	19
Wed Dec 06 18:27:32 2023	1701916052	12	19	31	17
Wed Dec 06 18:25:53 2023	1701915953	12	19	31	15
Wed Dec 06 18:20:02 2023	1701915602	7	24	31	20
Wed Dec 06 18:26:44 2023	1701916004	16	15	31	15
Wed Dec 06 18:27:32 2023	1701916052	12	19	31	17
Wed Dec 06 18:20:02 2023	1701915602	7	24	31	19
Wed Dec 06 18:22:54 2023	1701915774	5	26	31	26
Wed Dec 06 18:20:02 2023	1701915602	8	23	32	22
Wed Dec 06 18:20:02 2023	1701915602	11	21	32	18
Wed Dec 06 18:20:02 2023	1701915602	13	19	32	17
Wed Dec 06 18:20:02 2023	1701915602	7	25	32	25
Wed Dec 06 18:20:02 2023	1701915602	7	25	32	25
Wed Dec 06 18:22:54 2023	1701915774	14	18	32	18
Wed Dec 06 18:20:02 2023	1701915602	13	19	32	17
Wed Dec 06 18:27:03 2023	1701916023	13	20	32	13
Wed Dec 06 18:27:03 2023	1701916023	12	21	32	15
Wed Dec 06 18:24:21 2023	1701915861	12	20	33	18
Wed Dec 06 18:24:21 2023	1701915861	12	21	33	20
Wed Dec 06 18:24:21 2023	1701915861	12	21	33	18
Wed Dec 06 18:25:53 2023	1701915953	20	13	33	10
Wed Dec 06 18:26:43 2023	1701916003	11	22	33	22
Wed Dec 06 18:25:53 2023	1701915953	9	24	33	24
Wed Dec 06 18:23:17 2023	1701915797	7	27	33	21
Wed Dec 06 18:23:17 2023	1701915797	7	27	33	25
Wed Dec 06 18:20:02 2023	1701915602	11	22	34	21
Wed Dec 06 18:25:48 2023	1701915948	10	23	34	22
Wed Dec 06 18:23:17 2023	1701915797	6	28	34	27
Wed Dec 06 18:23:15 2023	1701915795	21	14	34	13
Wed Dec 06 18:26:50 2023	1701916010	15	19	34	17
Wed Dec 06 18:23:17 2023	1701915797	7	28	34	27
Wed Dec 06 18:22:24 2023	1701915744	18	16	35	15
Wed Dec 06 18:20:02 2023	1701915602	10	25	35	13
Wed Dec 06 18:26:12 2023	1701915972	12	23	35	20
Wed Dec 06 18:26:12 2023	1701915972	11	24	35	24
Wed Dec 06 18:26:13 2023	1701915973	7	28	35	27
Wed Dec 06 18:23:15 2023	1701915795	21	14	35	12
Wed Dec 06 18:25:53 2023	1701915953	12	23	35	22
Wed Dec 06 18:27:03 2023	1701916023	12	23	35	15
Wed Dec 06 18:27:32 2023	1701916052	12	23	35	21
Wed Dec 06 18:24:37 2023	1701915877	8	27	35	24
Wed Dec 06 18:23:17 2023	1701915797	8	27	35	23
Wed Dec 06 18:23:17 2023	1701915797	8	27	35	26
Wed Dec 06 18:26:43 2023	1701916003	17	18	35	16
Wed Dec 06 18:24:37 2023	1701915877	8	27	35	24
Wed Dec 06 18:26:12 2023	1701915972	18	17	35	17
Wed Dec 06 18:25:47 2023	1701915947	17	18	35	18
Wed Dec 06 18:27:03 2023	1701916023	13	23	35	20
Wed Dec 06 18:27:03 2023	1701916023	13	23	35	20
Wed Dec 06 18:22:24 2023	1701915744	12	24	35	23
Wed Dec 06 18:27:03 2023	1701916023	13	23	35	20
Wed Dec 06 18:22:24 2023	1701915744	14	22	36	21
Wed Dec 06 18:22:24 2023	1701915744	20	16	36	14
Wed Dec 06 18:26:12 2023	1701915972	14	22	36	20
Wed Dec 06 18:25:47 2023	1701915947	18	19	37	16
Wed Dec 06 18:25:04 2023	1701915904	20	17	37	14
Wed Dec 06 18:25:27 2023	1701915927	15	21	37	12
Wed Dec 06 18:25:27 2023	1701915927	15	21	37	11
Wed Dec 06 18:25:04 2023	1701915904	19	17	37	16
Wed Dec 06 18:20:02 2023	1701915602	9	28	37	23
Wed Dec 06 18:26:43 2023	1701916003	14	22	37	15
Wed Dec 06 18:20:02 2023	1701915602	9	28	37	22
Wed Dec 06 18:20:02 2023	1701915602	16	20	37	18
Wed Dec 06 18:24:57 2023	1701915897	11	26	37	24
Wed Dec 06 18:25:55 2023	1701915955	5	32	37	32
Wed Dec 06 18:26:43 2023	1701916003	15	23	37	15
Wed Dec 06 18:27:31 2023	1701916051	23	14	37	14
Wed Dec 06 18:25:55 2023	1701915955	5	32	37	32
Wed Dec 06 18:22:54 2023	1701915774	7	30	37	29
Wed Dec 06 18:26:43 2023	1701916003	15	23	37	18
Wed Dec 06 18:25:47 2023	1701915947	14	23	37	19
Wed Dec 06 18:25:22 2023	1701915922	11	26	38	23
Wed Dec 06 18:27:32 2023	1701916052	15	23	38	21
Wed Dec 06 18:22:54 2023	1701915774	5	33	38	29
Wed Dec 06 18:26:43 2023	1701916003	10	28	38	19
Wed Dec 06 18:20:02 2023	1701915602	10	28	38	22
Wed Dec 06 18:20:02 2023	1701915602	7	31	38	31
Wed Dec 06 18:22:25 2023	1701915745	11	27	38	15
Wed Dec 06 18:26:12 2023	1701915972	13	25	38	23
Wed Dec 06 18:25:27 2023	1701915927	14	24	38	11
Wed Dec 06 18:26:43 2023	1701916003	24	15	38	14
Wed Dec 06 18:24:31 2023	1701915871	16	22	38	19
Wed Dec 06 18:26:44 2023	1701916004	22	17	38	14
Wed Dec 06 18:26:43 2023	1701916003	25	14	38	12
Wed Dec 06 18:24:31 2023	1701915871	16	22	38	19
Wed Dec 06 18:26:44 2023	1701916004	22	17	39	17
