starttime	seconds	ctime	dtime	ttime	wait
Wed Dec 06 18:30:50 2023	1701916250	5	9	14	7
Wed Dec 06 18:30:55 2023	1701916255	4	10	14	8
Wed Dec 06 18:31:41 2023	1701916301	5	10	14	7
Wed Dec 06 18:30:55 2023	1701916255	6	8	14	7
Wed Dec 06 18:30:55 2023	1701916255	6	8	14	6
Wed Dec 06 18:30:49 2023	1701916249	7	8	15	7
Wed Dec 06 18:30:50 2023	1701916250	7	8	15	7
Wed Dec 06 18:30:50 2023	1701916250	7	8	15	7
Wed Dec 06 18:30:56 2023	1701916256	5	10	16	8
Wed Dec 06 18:31:17 2023	1701916277	6	10	16	8
Wed Dec 06 18:31:00 2023	1701916260	6	9	16	6
Wed Dec 06 18:31:05 2023	1701916265	6	10	16	8
Wed Dec 06 18:31:41 2023	1701916301	7	9	16	8
Wed Dec 06 18:31:41 2023	1701916301	4	12	16	10
Wed Dec 06 18:31:00 2023	1701916260	6	10	16	7
Wed Dec 06 18:31:00 2023	1701916260	6	10	16	8
Wed Dec 06 18:30:56 2023	1701916256	5	11	16	9
Wed Dec 06 18:31:42 2023	1701916302	6	10	16	8
Wed Dec 06 18:30:55 2023	1701916255	6	10	16	10
Wed Dec 06 18:31:00 2023	1701916260	8	9	16	7
Wed Dec 06 18:31:41 2023	1701916301	4	12	16	10
Wed Dec 06 18:31:20 2023	1701916280	7	10	16	9
Wed Dec 06 18:30:55 2023	1701916255	6	10	16	9
Wed Dec 06 18:30:50 2023	1701916250	7	10	16	7
Wed Dec 06 18:30:56 2023	1701916256	6	10	16	7
Wed Dec 06 18:30:56 2023	1701916256	7	9	17	8
Wed Dec 06 18:31:41 2023	1701916301	6	11	17	9
Wed Dec 06 18:31:00 2023	1701916260	6	11	17	9
Wed Dec 06 18:31:02 2023	1701916262	6	11	17	7
Wed Dec 06 18:31:41 2023	1701916301	6	11	17	9
Wed Dec 06 18:30:49 2023	1701916249	6	11	17	11
Wed Dec 06 18:30:50 2023	1701916250	6	11	17	8
Wed Dec 06 18:30:56 2023	1701916256	9	7	17	6
Wed Dec 06 18:31:41 2023	1701916301	8	9	17	7
Wed Dec 06 18:30:56 2023	1701916256	7	10	17	8
Wed Dec 06 18:30:50 2023	1701916250	8	9	17	9
Wed Dec 06 18:30:50 2023	1701916250	5	11	17	9
Wed Dec 06 18:30:50 2023	1701916250	8	9	17	6
Wed Dec 06 18:31:02 2023	1701916262	7	10	17	8
Wed Dec 06 18:31:14 2023	1701916274	7	9	17	7
Wed Dec 06 18:30:50 2023	1701916250	8	9	17	8
Wed Dec 06 18:31:17 2023	1701916277	7	10	17	8
Wed Dec 06 18:31:17 2023	1701916277	5	12	17	10
Wed Dec 06 18:30:55 2023	1701916255	7	10	17	7
Wed Dec 06 18:30:50 2023	1701916250	8	9	17	7
Wed Dec 06 18:30:55 2023	1701916255	7	10	17	8
Wed Dec 06 18:30:50 2023	1701916250	6	11	17	10
Wed Dec 06 18:31:00 2023	1701916260	7	10	17	8
Wed Dec 06 18:30:56 2023	1701916256	8	9	17	8
Wed Dec 06 18:31:00 2023	1701916260	6	11	17	10
Wed Dec 06 18:31:00 2023	1701916260	6	11	17	9
Wed Dec 06 18:31:05 2023	1701916265	8	9	17	8
Wed Dec 06 18:30:50 2023	1701916250	7	10	17	9
Wed Dec 06 18:30:50 2023	1701916250	6	11	17	6
Wed Dec 06 18:31:00 2023	1701916260	7	10	17	8
Wed Dec 06 18:31:17 2023	1701916277	5	12	17	10
Wed Dec 06 18:30:50 2023	1701916250	6	11	17	6
Wed Dec 06 18:30:56 2023	1701916256	7	10	17	8
Wed Dec 06 18:30:56 2023	1701916256	8	9	17	8
Wed Dec 06 18:31:05 2023	1701916265	5	12	17	10
Wed Dec 06 18:30:50 2023	1701916250	8	9	17	8
Wed Dec 06 18:30:55 2023	1701916255	6	11	17	11
Wed Dec 06 18:31:05 2023	1701916265	5	12	17	12
Wed Dec 06 18:30:49 2023	1701916249	7	11	17	9
