starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 08 00:02:31 2023	1702022551	0	1	1	1
Fri Dec 08 00:02:32 2023	1702022552	0	1	1	1
Fri Dec 08 00:02:33 2023	1702022553	0	1	2	1
Fri Dec 08 00:02:30 2023	1702022550	0	1	2	1
Fri Dec 08 00:02:29 2023	1702022549	0	1	2	1
Fri Dec 08 00:02:33 2023	1702022553	0	1	2	1
Fri Dec 08 00:02:33 2023	1702022553	0	1	2	1
Fri Dec 08 00:02:30 2023	1702022550	0	1	2	1
Fri Dec 08 00:02:28 2023	1702022548	1	1	2	1
Fri Dec 08 00:02:27 2023	1702022547	1	1	2	1
Fri Dec 08 00:02:30 2023	1702022550	0	1	2	1
Fri Dec 08 00:02:32 2023	1702022552	0	1	2	1
Fri Dec 08 00:02:26 2023	1702022546	0	1	2	1
Fri Dec 08 00:02:28 2023	1702022548	0	1	2	1
Fri Dec 08 00:02:33 2023	1702022553	0	1	2	1
Fri Dec 08 00:02:30 2023	1702022550	0	1	2	1
Fri Dec 08 00:02:31 2023	1702022551	0	1	2	1
Fri Dec 08 00:02:30 2023	1702022550	0	1	2	1
Fri Dec 08 00:02:33 2023	1702022553	0	1	2	1
Fri Dec 08 00:02:33 2023	1702022553	1	1	2	1
Fri Dec 08 00:02:31 2023	1702022551	0	1	2	1
Fri Dec 08 00:02:31 2023	1702022551	1	1	2	1
Fri Dec 08 00:02:29 2023	1702022549	0	1	2	1
Fri Dec 08 00:02:31 2023	1702022551	0	1	2	1
Fri Dec 08 00:02:33 2023	1702022553	0	1	2	1
Fri Dec 08 00:02:25 2023	1702022545	0	1	2	1
Fri Dec 08 00:02:31 2023	1702022551	0	1	2	1
Fri Dec 08 00:02:29 2023	1702022549	0	1	2	1
Fri Dec 08 00:02:29 2023	1702022549	0	1	2	1
Fri Dec 08 00:02:31 2023	1702022551	0	1	2	1
Fri Dec 08 00:02:32 2023	1702022552	0	1	2	1
Fri Dec 08 00:02:30 2023	1702022550	0	1	2	1
Fri Dec 08 00:02:31 2023	1702022551	0	1	2	1
Fri Dec 08 00:02:31 2023	1702022551	0	1	2	1
Fri Dec 08 00:02:33 2023	1702022553	0	1	2	1
Fri Dec 08 00:02:31 2023	1702022551	0	1	2	1
Fri Dec 08 00:02:31 2023	1702022551	0	1	2	1
Fri Dec 08 00:02:31 2023	1702022551	0	1	2	1
Fri Dec 08 00:02:31 2023	1702022551	0	1	2	1
Fri Dec 08 00:02:27 2023	1702022547	0	1	2	1
Fri Dec 08 00:02:26 2023	1702022546	1	1	2	1
Fri Dec 08 00:02:30 2023	1702022550	0	1	2	1
Fri Dec 08 00:02:26 2023	1702022546	0	1	2	1
Fri Dec 08 00:02:28 2023	1702022548	0	1	2	1
Fri Dec 08 00:02:30 2023	1702022550	0	2	2	1
Fri Dec 08 00:02:32 2023	1702022552	0	2	2	1
Fri Dec 08 00:02:31 2023	1702022551	0	1	2	1
Fri Dec 08 00:02:30 2023	1702022550	0	1	2	1
Fri Dec 08 00:02:32 2023	1702022552	1	1	2	1
Fri Dec 08 00:02:31 2023	1702022551	0	2	2	1
Fri Dec 08 00:02:28 2023	1702022548	1	1	2	1
Fri Dec 08 00:02:31 2023	1702022551	0	2	2	1
Fri Dec 08 00:02:31 2023	1702022551	1	1	2	1
Fri Dec 08 00:02:30 2023	1702022550	0	1	2	1
Fri Dec 08 00:02:32 2023	1702022552	0	2	2	1
Fri Dec 08 00:02:27 2023	1702022547	0	1	2	1
Fri Dec 08 00:02:31 2023	1702022551	1	1	2	1
Fri Dec 08 00:02:27 2023	1702022547	0	1	2	1
Fri Dec 08 00:02:30 2023	1702022550	0	1	2	1
Fri Dec 08 00:02:26 2023	1702022546	0	2	2	1
Fri Dec 08 00:02:27 2023	1702022547	0	1	2	1
Fri Dec 08 00:02:27 2023	1702022547	0	1	2	1
Fri Dec 08 00:02:32 2023	1702022552	1	1	2	1
Fri Dec 08 00:02:26 2023	1702022546	0	1	2	1
Fri Dec 08 00:02:33 2023	1702022553	1	1	2	1
Fri Dec 08 00:02:29 2023	1702022549	0	2	2	1
Fri Dec 08 00:02:31 2023	1702022551	1	1	2	1
Fri Dec 08 00:02:29 2023	1702022549	0	2	2	1
Fri Dec 08 00:02:31 2023	1702022551	1	1	2	1
Fri Dec 08 00:02:27 2023	1702022547	0	2	2	1
Fri Dec 08 00:02:31 2023	1702022551	0	2	2	1
Fri Dec 08 00:02:30 2023	1702022550	0	2	2	1
Fri Dec 08 00:02:27 2023	1702022547	0	2	2	1
Fri Dec 08 00:02:32 2023	1702022552	0	1	2	1
Fri Dec 08 00:02:32 2023	1702022552	1	1	2	1
Fri Dec 08 00:02:32 2023	1702022552	1	1	2	1
Fri Dec 08 00:02:32 2023	1702022552	1	1	2	1
Fri Dec 08 00:02:33 2023	1702022553	1	1	2	1
Fri Dec 08 00:02:31 2023	1702022551	0	2	2	1
Fri Dec 08 00:02:32 2023	1702022552	1	1	2	1
Fri Dec 08 00:02:24 2023	1702022544	1	1	2	1
Fri Dec 08 00:02:31 2023	1702022551	1	1	2	1
Fri Dec 08 00:02:31 2023	1702022551	0	2	2	1
Fri Dec 08 00:02:29 2023	1702022549	0	2	2	1
Fri Dec 08 00:02:30 2023	1702022550	0	2	2	1
Fri Dec 08 00:02:26 2023	1702022546	1	1	2	1
Fri Dec 08 00:02:31 2023	1702022551	0	2	2	1
Fri Dec 08 00:02:32 2023	1702022552	1	1	2	1
Fri Dec 08 00:02:32 2023	1702022552	0	2	2	1
Fri Dec 08 00:02:30 2023	1702022550	1	1	2	1
Fri Dec 08 00:02:32 2023	1702022552	0	2	2	1
Fri Dec 08 00:02:32 2023	1702022552	0	2	2	1
Fri Dec 08 00:02:21 2023	1702022541	0	2	2	1
Fri Dec 08 00:02:31 2023	1702022551	0	2	2	1
Fri Dec 08 00:02:32 2023	1702022552	0	2	2	1
Fri Dec 08 00:02:29 2023	1702022549	0	2	2	1
Fri Dec 08 00:02:31 2023	1702022551	1	1	2	1
Fri Dec 08 00:02:27 2023	1702022547	0	2	2	1
Fri Dec 08 00:02:29 2023	1702022549	0	2	2	1
Fri Dec 08 00:02:31 2023	1702022551	0	2	2	1
