starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 07 23:27:39 2023	1702020459	1	1	2	1
Thu Dec 07 23:26:23 2023	1702020383	1	1	2	1
Thu Dec 07 23:27:39 2023	1702020459	1	1	2	1
Thu Dec 07 23:25:04 2023	1702020304	1	1	2	1
Thu Dec 07 23:24:54 2023	1702020294	1	2	2	2
Thu Dec 07 23:25:04 2023	1702020304	1	1	2	1
Thu Dec 07 23:26:23 2023	1702020383	1	2	2	2
Thu Dec 07 23:24:57 2023	1702020297	1	2	3	2
Thu Dec 07 23:26:54 2023	1702020414	1	2	3	2
Thu Dec 07 23:24:09 2023	1702020249	1	2	3	2
Thu Dec 07 23:24:59 2023	1702020299	1	2	3	2
Thu Dec 07 23:27:39 2023	1702020459	1	2	3	2
Thu Dec 07 23:23:38 2023	1702020218	1	2	3	2
Thu Dec 07 23:23:38 2023	1702020218	1	2	3	2
Thu Dec 07 23:24:54 2023	1702020294	1	2	3	2
Thu Dec 07 23:26:23 2023	1702020383	1	2	3	2
Thu Dec 07 23:25:54 2023	1702020354	1	2	3	1
Thu Dec 07 23:24:54 2023	1702020294	1	2	3	2
Thu Dec 07 23:24:22 2023	1702020262	1	2	3	2
Thu Dec 07 23:24:54 2023	1702020294	1	2	3	2
Thu Dec 07 23:26:27 2023	1702020387	1	2	3	2
Thu Dec 07 23:27:53 2023	1702020473	1	2	3	2
Thu Dec 07 23:27:53 2023	1702020473	1	2	3	1
Thu Dec 07 23:24:54 2023	1702020294	1	2	3	2
Thu Dec 07 23:26:58 2023	1702020418	1	2	3	2
Thu Dec 07 23:24:54 2023	1702020294	1	2	3	2
Thu Dec 07 23:25:36 2023	1702020336	1	3	3	2
Thu Dec 07 23:24:48 2023	1702020288	1	2	3	2
Thu Dec 07 23:24:54 2023	1702020294	1	2	3	2
Thu Dec 07 23:25:45 2023	1702020345	1	3	3	2
Thu Dec 07 23:27:51 2023	1702020471	1	3	3	2
Thu Dec 07 23:25:41 2023	1702020341	1	3	3	3
Thu Dec 07 23:24:54 2023	1702020294	1	2	3	2
Thu Dec 07 23:27:32 2023	1702020452	1	3	3	2
Thu Dec 07 23:28:06 2023	1702020486	1	3	3	3
Thu Dec 07 23:24:13 2023	1702020253	1	3	3	2
Thu Dec 07 23:27:24 2023	1702020444	1	2	3	2
Thu Dec 07 23:27:16 2023	1702020436	1	3	3	2
Thu Dec 07 23:26:46 2023	1702020406	1	3	3	3
