starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 08 00:05:09 2023	1702022709	0	1	1	1
Fri Dec 08 00:05:13 2023	1702022713	0	1	1	1
Fri Dec 08 00:05:02 2023	1702022702	0	1	2	1
Fri Dec 08 00:05:14 2023	1702022714	0	1	2	1
Fri Dec 08 00:05:14 2023	1702022714	0	1	2	1
Fri Dec 08 00:05:08 2023	1702022708	0	1	2	1
Fri Dec 08 00:05:06 2023	1702022706	1	1	2	1
Fri Dec 08 00:05:10 2023	1702022710	1	1	2	1
Fri Dec 08 00:05:09 2023	1702022709	1	1	2	1
Fri Dec 08 00:05:06 2023	1702022706	1	1	2	1
Fri Dec 08 00:05:10 2023	1702022710	1	1	2	1
Fri Dec 08 00:05:01 2023	1702022701	0	1	2	1
Fri Dec 08 00:05:08 2023	1702022708	0	1	2	1
Fri Dec 08 00:05:08 2023	1702022708	1	1	2	1
Fri Dec 08 00:04:59 2023	1702022699	0	1	2	1
Fri Dec 08 00:05:04 2023	1702022704	1	1	2	1
Fri Dec 08 00:05:12 2023	1702022712	0	1	2	1
Fri Dec 08 00:05:07 2023	1702022707	0	1	2	1
Fri Dec 08 00:05:03 2023	1702022703	0	1	2	1
Fri Dec 08 00:05:06 2023	1702022706	1	1	2	1
Fri Dec 08 00:05:13 2023	1702022713	0	1	2	1
Fri Dec 08 00:05:10 2023	1702022710	1	1	2	1
Fri Dec 08 00:05:00 2023	1702022700	0	1	2	1
Fri Dec 08 00:05:02 2023	1702022702	0	1	2	1
Fri Dec 08 00:05:01 2023	1702022701	0	1	2	1
Fri Dec 08 00:05:08 2023	1702022708	0	1	2	1
Fri Dec 08 00:05:07 2023	1702022707	0	1	2	1
Fri Dec 08 00:04:59 2023	1702022699	0	1	2	1
Fri Dec 08 00:05:14 2023	1702022714	0	1	2	1
Fri Dec 08 00:05:10 2023	1702022710	1	1	2	1
Fri Dec 08 00:05:11 2023	1702022711	0	1	2	1
Fri Dec 08 00:05:14 2023	1702022714	1	1	2	1
Fri Dec 08 00:05:00 2023	1702022700	0	2	2	2
Fri Dec 08 00:05:09 2023	1702022709	1	1	2	1
Fri Dec 08 00:04:59 2023	1702022699	1	1	2	1
Fri Dec 08 00:05:14 2023	1702022714	1	1	2	1
Fri Dec 08 00:05:11 2023	1702022711	0	2	2	1
Fri Dec 08 00:05:00 2023	1702022700	0	2	2	1
Fri Dec 08 00:05:14 2023	1702022714	1	1	2	1
Fri Dec 08 00:04:59 2023	1702022699	1	1	2	1
Fri Dec 08 00:05:13 2023	1702022713	1	1	2	1
Fri Dec 08 00:05:09 2023	1702022709	0	2	2	1
Fri Dec 08 00:05:06 2023	1702022706	1	1	2	1
Fri Dec 08 00:05:06 2023	1702022706	1	1	2	1
Fri Dec 08 00:05:12 2023	1702022712	1	1	2	1
Fri Dec 08 00:05:13 2023	1702022713	1	1	2	1
Fri Dec 08 00:05:09 2023	1702022709	1	2	2	1
Fri Dec 08 00:05:14 2023	1702022714	0	2	2	1
Fri Dec 08 00:05:09 2023	1702022709	1	1	2	1
Fri Dec 08 00:05:04 2023	1702022704	0	2	2	1
Fri Dec 08 00:05:11 2023	1702022711	0	2	2	1
Fri Dec 08 00:05:13 2023	1702022713	1	1	2	1
Fri Dec 08 00:05:12 2023	1702022712	1	1	2	1
Fri Dec 08 00:05:05 2023	1702022705	1	1	2	1
Fri Dec 08 00:04:59 2023	1702022699	0	2	2	2
Fri Dec 08 00:05:14 2023	1702022714	1	1	2	1
Fri Dec 08 00:05:09 2023	1702022709	1	1	2	1
Fri Dec 08 00:05:04 2023	1702022704	0	2	2	1
Fri Dec 08 00:05:08 2023	1702022708	1	1	2	1
Fri Dec 08 00:05:08 2023	1702022708	1	1	2	1
Fri Dec 08 00:05:00 2023	1702022700	1	1	2	1
Fri Dec 08 00:05:07 2023	1702022707	1	1	2	1
Fri Dec 08 00:05:08 2023	1702022708	1	2	2	1
Fri Dec 08 00:05:06 2023	1702022706	1	1	2	1
Fri Dec 08 00:05:12 2023	1702022712	1	1	2	1
Fri Dec 08 00:05:09 2023	1702022709	1	1	2	1
Fri Dec 08 00:05:00 2023	1702022700	0	2	2	1
Fri Dec 08 00:05:05 2023	1702022705	1	1	2	1
Fri Dec 08 00:05:12 2023	1702022712	1	1	2	1
Fri Dec 08 00:05:01 2023	1702022701	0	2	2	1
Fri Dec 08 00:05:13 2023	1702022713	1	1	2	1
Fri Dec 08 00:05:08 2023	1702022708	1	2	2	1
Fri Dec 08 00:05:04 2023	1702022704	0	2	2	1
Fri Dec 08 00:05:14 2023	1702022714	1	1	2	1
Fri Dec 08 00:05:12 2023	1702022712	1	1	2	1
Fri Dec 08 00:05:10 2023	1702022710	1	2	2	1
Fri Dec 08 00:05:14 2023	1702022714	0	2	2	2
Fri Dec 08 00:05:01 2023	1702022701	1	1	2	1
Fri Dec 08 00:05:08 2023	1702022708	0	2	2	1
Fri Dec 08 00:05:11 2023	1702022711	1	2	2	1
Fri Dec 08 00:05:12 2023	1702022712	1	2	2	1
Fri Dec 08 00:05:12 2023	1702022712	1	1	2	1
Fri Dec 08 00:05:00 2023	1702022700	0	2	2	1
Fri Dec 08 00:05:02 2023	1702022702	1	1	2	1
Fri Dec 08 00:05:04 2023	1702022704	1	2	2	2
Fri Dec 08 00:05:13 2023	1702022713	1	2	2	1
Fri Dec 08 00:05:08 2023	1702022708	1	2	2	1
Fri Dec 08 00:05:10 2023	1702022710	0	2	2	2
Fri Dec 08 00:05:13 2023	1702022713	1	2	2	1
Fri Dec 08 00:05:08 2023	1702022708	1	2	2	1
Fri Dec 08 00:05:07 2023	1702022707	1	2	2	1
Fri Dec 08 00:05:09 2023	1702022709	1	1	2	1
Fri Dec 08 00:05:02 2023	1702022702	1	1	2	1
Fri Dec 08 00:05:12 2023	1702022712	1	2	2	1
Fri Dec 08 00:05:08 2023	1702022708	1	1	2	1
Fri Dec 08 00:05:02 2023	1702022702	1	2	2	2
Fri Dec 08 00:05:10 2023	1702022710	1	2	2	2
Fri Dec 08 00:05:07 2023	1702022707	1	1	2	1
Fri Dec 08 00:05:09 2023	1702022709	0	2	2	2
Fri Dec 08 00:05:01 2023	1702022701	1	2	2	1
Fri Dec 08 00:05:13 2023	1702022713	1	1	2	1
Fri Dec 08 00:05:13 2023	1702022713	1	2	2	2
Fri Dec 08 00:05:08 2023	1702022708	1	2	2	1
Fri Dec 08 00:05:14 2023	1702022714	0	2	2	1
Fri Dec 08 00:05:09 2023	1702022709	1	2	2	1
Fri Dec 08 00:05:07 2023	1702022707	0	2	2	1
Fri Dec 08 00:05:07 2023	1702022707	0	2	2	1
