starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 07 19:47:46 2023	1702007266	1	5	6	5
Thu Dec 07 19:29:02 2023	1702006142	1	9	10	8
Thu Dec 07 19:41:16 2023	1702006876	1	15	16	14
Thu Dec 07 19:28:30 2023	1702006110	1	16	17	16
Thu Dec 07 19:48:29 2023	1702007309	1	17	17	17
Thu Dec 07 19:39:10 2023	1702006750	1	16	18	16
Thu Dec 07 19:38:50 2023	1702006730	1	17	18	16
Thu Dec 07 19:45:54 2023	1702007154	1	17	19	17
Thu Dec 07 19:39:07 2023	1702006747	1	18	19	18
Thu Dec 07 19:41:08 2023	1702006868	1	18	19	18
Thu Dec 07 19:41:28 2023	1702006888	1	18	19	18
Thu Dec 07 19:45:51 2023	1702007151	1	18	19	18
Thu Dec 07 19:50:55 2023	1702007455	1	19	19	18
Thu Dec 07 19:47:09 2023	1702007229	1	19	20	18
Thu Dec 07 19:28:50 2023	1702006130	1	19	20	19
Thu Dec 07 19:32:09 2023	1702006329	1	19	20	18
Thu Dec 07 19:30:57 2023	1702006257	1	20	21	19
Thu Dec 07 19:38:31 2023	1702006711	1	22	23	22
Thu Dec 07 19:31:57 2023	1702006317	1	22	23	22
Thu Dec 07 19:38:09 2023	1702006689	2	22	23	21
Thu Dec 07 19:39:40 2023	1702006780	1	23	24	22
Thu Dec 07 19:38:08 2023	1702006688	1	23	24	23
Thu Dec 07 19:41:26 2023	1702006886	1	23	24	23
Thu Dec 07 19:29:37 2023	1702006177	1	24	25	24
Thu Dec 07 19:44:34 2023	1702007074	1	25	26	25
Thu Dec 07 19:39:37 2023	1702006777	1	26	27	25
Thu Dec 07 19:30:55 2023	1702006255	1	26	27	26
Thu Dec 07 19:47:55 2023	1702007275	1	26	27	26
Thu Dec 07 19:44:02 2023	1702007042	1	26	27	26
Thu Dec 07 19:31:36 2023	1702006296	1	26	27	25
Thu Dec 07 19:43:41 2023	1702007021	1	26	27	26
Thu Dec 07 19:37:56 2023	1702006676	1	26	28	26
Thu Dec 07 19:30:44 2023	1702006244	1	26	28	26
Thu Dec 07 19:29:29 2023	1702006169	1	27	28	27
Thu Dec 07 19:41:05 2023	1702006865	1	27	28	27
Thu Dec 07 19:35:38 2023	1702006538	2	27	29	27
Thu Dec 07 19:44:09 2023	1702007049	1	28	29	27
Thu Dec 07 19:47:50 2023	1702007270	1	29	30	29
Thu Dec 07 19:47:50 2023	1702007270	1	29	30	28
Thu Dec 07 19:49:41 2023	1702007381	1	29	30	28
Thu Dec 07 19:39:53 2023	1702006793	1	29	30	29
Thu Dec 07 19:34:30 2023	1702006470	1	30	31	29
Thu Dec 07 19:34:27 2023	1702006467	1	30	31	29
