starttime	seconds	ctime	dtime	ttime	wait
Wed Dec 06 18:35:33 2023	1701916533	6	8	13	7
Wed Dec 06 18:35:36 2023	1701916536	5	9	14	9
Wed Dec 06 18:35:47 2023	1701916547	5	9	14	8
Wed Dec 06 18:35:48 2023	1701916548	5	9	14	9
Wed Dec 06 18:35:48 2023	1701916548	6	9	15	9
Wed Dec 06 18:35:47 2023	1701916547	6	8	15	8
Wed Dec 06 18:35:48 2023	1701916548	7	8	15	7
Wed Dec 06 18:35:33 2023	1701916533	7	9	15	7
Wed Dec 06 18:35:36 2023	1701916536	6	10	15	8
Wed Dec 06 18:35:40 2023	1701916540	7	9	16	7
Wed Dec 06 18:35:44 2023	1701916544	7	9	16	9
Wed Dec 06 18:35:38 2023	1701916538	7	9	16	7
Wed Dec 06 18:35:40 2023	1701916540	8	8	16	8
Wed Dec 06 18:35:40 2023	1701916540	8	8	16	6
Wed Dec 06 18:35:47 2023	1701916547	6	10	16	7
Wed Dec 06 18:35:52 2023	1701916552	7	9	16	8
Wed Dec 06 18:35:35 2023	1701916535	8	8	16	8
Wed Dec 06 18:35:52 2023	1701916552	7	9	16	8
Wed Dec 06 18:35:40 2023	1701916540	5	11	16	9
Wed Dec 06 18:35:48 2023	1701916548	7	10	16	8
Wed Dec 06 18:35:53 2023	1701916553	5	11	16	10
Wed Dec 06 18:35:33 2023	1701916533	6	10	16	8
Wed Dec 06 18:35:40 2023	1701916540	8	9	16	8
Wed Dec 06 18:35:50 2023	1701916550	7	9	16	8
Wed Dec 06 18:35:34 2023	1701916534	7	9	17	9
Wed Dec 06 18:35:48 2023	1701916548	6	10	17	10
Wed Dec 06 18:35:48 2023	1701916548	7	10	17	9
Wed Dec 06 18:35:54 2023	1701916554	8	9	17	7
Wed Dec 06 18:35:42 2023	1701916542	9	8	17	8
Wed Dec 06 18:36:04 2023	1701916564	8	8	17	8
Wed Dec 06 18:35:47 2023	1701916547	5	11	17	10
Wed Dec 06 18:35:56 2023	1701916556	7	10	17	9
Wed Dec 06 18:36:05 2023	1701916565	6	10	17	9
Wed Dec 06 18:36:05 2023	1701916565	8	9	17	9
Wed Dec 06 18:35:34 2023	1701916534	8	9	17	7
Wed Dec 06 18:35:50 2023	1701916550	9	8	17	8
Wed Dec 06 18:35:48 2023	1701916548	7	10	17	8
Wed Dec 06 18:35:40 2023	1701916540	8	9	17	8
Wed Dec 06 18:35:40 2023	1701916540	7	10	17	10
Wed Dec 06 18:35:38 2023	1701916538	6	11	17	10
Wed Dec 06 18:35:54 2023	1701916554	7	10	17	8
Wed Dec 06 18:35:58 2023	1701916558	10	8	17	7
Wed Dec 06 18:35:40 2023	1701916540	7	10	17	7
Wed Dec 06 18:35:40 2023	1701916540	7	10	17	8
Wed Dec 06 18:35:40 2023	1701916540	6	11	17	10
Wed Dec 06 18:35:48 2023	1701916548	6	11	17	7
Wed Dec 06 18:35:40 2023	1701916540	6	11	17	9
Wed Dec 06 18:35:56 2023	1701916556	7	11	17	10
Wed Dec 06 18:35:40 2023	1701916540	7	10	17	8
Wed Dec 06 18:35:48 2023	1701916548	6	11	17	11
Wed Dec 06 18:35:48 2023	1701916548	7	10	17	9
Wed Dec 06 18:35:39 2023	1701916539	7	10	17	10
Wed Dec 06 18:36:05 2023	1701916565	9	9	17	8
Wed Dec 06 18:35:58 2023	1701916558	6	11	17	9
Wed Dec 06 18:35:40 2023	1701916540	7	10	17	10
Wed Dec 06 18:35:40 2023	1701916540	7	10	17	9
Wed Dec 06 18:35:31 2023	1701916531	7	11	17	9
Wed Dec 06 18:35:34 2023	1701916534	6	11	17	10
Wed Dec 06 18:35:47 2023	1701916547	6	11	17	10
Wed Dec 06 18:35:36 2023	1701916536	7	10	17	6
Wed Dec 06 18:35:46 2023	1701916546	8	9	18	8
Wed Dec 06 18:35:38 2023	1701916538	6	11	18	10
